query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,utility,acquisition,predicted_runtime_mean,predicted_runtime_sd,score,runtime
17268,385,16459,2351,6pmv_M16_A_803,2,diffdock,0.017476574,0.017476574,,,0,40.461775
17269,385,4769,681,2nz5_226_A_432,2,diffdock,0.017471028,0.017471028,,,0,26.690726
17270,385,17411,2487,6vv9_RQ1_A_202,2,diffdock,0.017445949,0.017445949,,,0,24.3867
17271,385,4349,621,2gn2_C5P_A_400,2,diffdock,0.017432334,0.017432334,,,0,30.149476
17272,385,13491,1927,5tde_2HP_B_902,2,diffdock,0.017415396,0.017415396,,,1.6574552e-34,21.893394
17273,385,16515,2359,6ps7_ZMA_A_1201,2,diffdock,0.017359576,0.017359576,,,0,24.782267
17274,385,13211,1887,5o4j_9KH_B_302,2,diffdock,0.017345533,0.017345533,,,0,31.511435
17275,385,16627,2375,6qli_4LR_A_301,2,diffdock,0.017327717,0.017327717,,,0,13.490253
17276,385,10187,1455,4u7g_K17_A_303,2,diffdock,0.017253082,0.017253082,,,0,21.652894
17277,385,12749,1821,5joy_6LW_A_602,2,diffdock,0.017249256,0.017249256,,,0,33.353876
17278,385,17376,2482,6vmz_R3P_C_404,2,diffdock,0.017242362,0.017242362,,,1.6901577e-52,38.798098
17279,385,674,96,1gz5_G6P_C_901,2,diffdock,0.017241328,0.017241328,,,0,49.992278
17280,385,13253,1893,5ocm_9RH_C_302,2,diffdock,0.017178858,0.017178858,,,0,40.069828
17281,385,13890,1984,5vv5_9OJ_B_803,2,diffdock,0.017152238,0.017152238,,,0,46.457802
17282,385,4461,637,2i1v_F6P_B_720,2,diffdock,0.017097332,0.017097332,,,0,20.166141
17283,385,3383,483,1z6k_OAA_A_274,2,diffdock,0.017067931,0.017067931,,,0,17.768115
17284,385,3999,571,2d3n_GLC_A_608,2,diffdock,0.017059664,0.017059664,,,0,17.133671
17285,385,11139,1591,5agn_4JK_A_800,2,diffdock,0.016980391,0.016980391,,,0,42.103438
17286,385,9473,1353,4mr8_2BW_A_507,2,diffdock,0.01694411,0.01694411,,,0,31.313979
17287,385,3537,505,1zmt_RNO_D_1004,2,diffdock,0.016929368,0.016929368,,,0,33.763842
17288,385,7422,1060,4b98_PXG_A_470,2,diffdock,0.016895705,0.016895705,,,0,70.356189
17289,385,8402,1200,4ghf_4NC_C_402,2,diffdock,0.016861724,0.016861724,,,0,37.755789
17290,385,9795,1399,4pb4_PLP_A_401,2,diffdock,0.016837574,0.016837574,,,0,43.921811
17291,385,17383,2483,6vmz_R3P_E_403,2,diffdock,0.016824317,0.016824317,,,1.6695996e-10,41.507774
17292,385,12189,1741,5hc0_NPO_A_407,2,diffdock,0.016813383,0.016813383,,,3.1348712e-05,18.320482
17293,385,1626,232,1ldo_SNR_A_150,2,diffdock,0.016806916,0.016806916,,,0,17.286415
17294,385,3040,434,1w55_C_A_1372,2,diffdock,0.016799604,0.016799604,,,0,24.73765
17295,385,16473,2353,6pn9_OU7_A_803,2,diffdock,0.016772099,0.016772099,,,0,49.205713
17296,385,961,137,1h82_GZZ_A_590,2,diffdock,0.016749868,0.016749868,,,0,42.364642
17297,385,10691,1527,4yu7_DHC_B_204,2,diffdock,0.016703572,0.016703572,,,1.4707095e-12,13.730812
17298,385,4692,670,2npq_BOG_A_2000,2,diffdock,0.016695399,0.016695399,,,1.2757616e-48,26.35995
17299,385,12525,1789,5ivg_FPS_D_704,2,diffdock,0.01665923,0.01665923,,,0,42.282753
17300,385,2662,380,1thc_FL9_B_130,2,diffdock,0.016653879,0.016653879,,,7.0714455e-24,19.534173
17301,385,13638,1948,5u8z_83D_A_602,2,diffdock,0.016647731,0.016647731,,,0,51.332972
17302,385,5119,731,2qd4_CHD_B_928,2,diffdock,0.016574776,0.016574776,,,3.6231313e-45,34.319922
17303,385,8395,1199,4ghf_4NC_A_402,2,diffdock,0.016571124,0.016571124,,,0,36.197419
17304,385,1178,168,1itw_ICT_B_744,2,diffdock,0.016565141,0.016565141,,,0,45.551597
17305,385,10215,1459,4u8y_MIY_B_1102,2,diffdock,0.016563036,0.016563036,,,0,30.149476
17306,385,13379,1911,5sga_TYR_P_1,2,diffdock,0.016540655,0.016540655,,,0,23.449528
17307,385,8591,1227,4hxk_1AJ_A_201,2,diffdock,0.016518281,0.016518281,,,0.00057031652,10.921018
17308,385,15192,2170,6fld_NAG_A_603,2,diffdock,0.016456584,0.016456584,,,0,30.149476
17309,385,12756,1822,5joy_6LW_B_602,2,diffdock,0.016445547,0.016445547,,,0,33.184739
17310,385,17348,2478,6vlu_CIT_A_701,2,diffdock,0.016428406,0.016428406,,,0,18.657814
17311,385,2599,371,1sz6_NAG_B_5001,2,diffdock,0.016418276,0.016418276,,,0,19.241231
17312,385,1969,281,1nrg_PLP_A_320,2,diffdock,0.016383292,0.016383292,,,2.48528e-08,13.838721
17313,385,3516,502,1zmt_RNO_A_1002,2,diffdock,0.016380465,0.016380465,,,1.3651707e-27,34.249407
17314,385,13575,1939,5tm5_7EV_B_601,2,diffdock,0.016355412,0.016355412,,,0,33.975187
17315,385,17646,2520,6zi7_RAM_D_503,6,smina,0.016353509,0.016353509,,,2.0185657e-05,0.81515329
17316,385,15941,2277,6md2_GW9_B_501,2,diffdock,0.016353381,0.016353381,,,5.2230631e-08,23.097362
17317,385,17359,2479,6vmz_NAG_A_402,6,smina,0.016348103,0.016348103,,,1.1336423e-11,1.514293
17318,386,10793,1541,4zbc_GLC_A_408,6,smina,0.016157345,0.016157345,,,0.00031172023,0.87204468
17319,386,15511,2215,6i4b_E2N_B_603,6,smina,0.016143415,0.016143415,,,0,5.0173728
17320,386,5172,738,2qui_LTN_A_501,6,smina,0.016128242,0.016128242,,,0.98901349,1.8502442
17321,386,9470,1352,4mr7_2BV_A_501,6,smina,0.016126022,0.016126022,,,0,7.8994865
17322,386,14748,2106,6br1_E3Y_B_505,6,smina,0.016125971,0.016125971,,,0,2.9081698
17323,386,10737,1533,4z69_DIF_A_1008,6,smina,0.016118936,0.016118936,,,0,3.5987774
17324,386,7146,1020,3zog_A2Q_A_200,6,smina,0.016116314,0.016116314,,,5.2171254e-06,0.47850642
17325,386,3772,538,2bf7_HBI_C_1290,6,smina,0.016116279,0.016116279,,,0,1.447119
17326,386,7734,1104,4clo_XP0_B_1270,6,smina,0.016114396,0.016114396,,,0,2.7529625
17327,386,8903,1271,4iph_1FJ_A_202,6,smina,0.016114203,0.016114203,,,0,3.4208707
17328,386,17478,2496,6xeb_V1P_A_411,6,smina,0.016112636,0.016112636,,,0,13.463013
17329,386,9211,1315,4l1x_STR_B_402,6,smina,0.016112339,0.016112339,,,0,1.356542
17330,386,4563,651,2ixi_TYD_A_1182,6,smina,0.01611213,0.01611213,,,0,5.3923737
17331,386,9610,1372,4nir_6DH_B_306,6,smina,0.016111258,0.016111258,,,0,1.7943381
17332,386,14230,2032,5y8k_SER_B_301,6,smina,0.016110608,0.016110608,,,1.988193e-05,0.73400011
17333,386,1665,237,1lqp_FCN_A_4004,6,smina,0.016109148,0.016109148,,,0,0.675432
17334,386,1679,239,1lqp_FCN_B_4003,6,smina,0.016108531,0.016108531,,,0,0.62454159
17335,386,5214,744,2qx9_ML2_A_233,6,smina,0.016108504,0.016108504,,,0,1.8522765
17336,386,10653,1521,4yjs_4DN_A_701,6,smina,0.016108086,0.016108086,,,0,8.4233364
17337,386,1217,173,1iwe_IMP_B_1452,6,smina,0.016108046,0.016108046,,,0,3.8389074
17338,386,8574,1224,4hmx_WUB_A_302,6,smina,0.016108026,0.016108026,,,0,1.2245327
17339,386,17177,2453,6tol_NQW_A_201,6,smina,0.016108012,0.016108012,,,0,8.0260068
17340,386,16351,2335,6ofr_BOG_A_804,6,smina,0.016107832,0.016107832,,,1.9470265e-11,5.8319743
17341,386,12438,1776,5ioq_DUR_B_302,6,smina,0.016107387,0.016107387,,,0,1.964662
17342,386,9918,1416,4q40_VAL_B_403,6,smina,0.016107105,0.016107105,,,8.2591593e-07,0.8341732
17343,386,2484,354,1rvz_NAG_F_3331,6,smina,0.016106993,0.016106993,,,3.5316398e-09,1.7693563
17344,386,11339,1619,5ci9_549_A_401,6,smina,0.016105625,0.016105625,,,0,1.5641601
17345,386,5592,798,2whq_HI6_B_1545,6,smina,0.0161047,0.0161047,,,0,1.1868359
17346,386,16729,2389,6r5o_BGC_A_802,6,smina,0.016104176,0.016104176,,,6.2702144e-07,0.92217549
17347,386,4136,590,2f64_12Q_B_471,6,smina,0.016103529,0.016103529,,,0,0.84615216
17348,386,10667,1523,4ynu_LGC_A_603,6,smina,0.016103079,0.016103079,,,1.6143967e-06,0.78943356
17349,386,5585,797,2whq_HI6_A_1543,6,smina,0.016101328,0.016101328,,,0,1.3114414
