query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,proposed_by_mu,proposed_by_ca,utility,cost_acquisition,predicted_runtime_mean,predicted_runtime_sd,affordable_repetitions,projected_gain,score,runtime
6880,135,9590,1370,4nkw_PLO_B_601,0,surfdock,True,True,0.78181556,1.1240234,4.5204592,0,10922,8538.9896,0.99066857,3.9582903
6881,135,8841,1263,4i9n_1E6_H_401,0,surfdock,True,False,0.77094325,1.0322076,5.7185254,0,10922,8420.2421,0.7574588,3.946664
6882,135,9954,1422,4r2n_PLP_B_401,0,surfdock,True,False,0.76615752,1.0839024,5.0055475,0,10922,8367.9724,0.9848017,4.4674227
6883,135,10143,1449,4u8y_MIY_B_1102,0,surfdock,True,False,0.74599147,0.88417675,8.4901772,0,10922,8147.7189,0,4.4687855
6884,135,9121,1303,4kux_FPS_B_405,0,surfdock,True,True,0.74425584,1.1340994,4.4011183,0,10922,8128.7623,0,4.2869735
6885,135,10843,1549,4zsy_RW2_A_502,0,surfdock,True,False,0.73719614,1.075754,5.1072016,0,10922,8051.6563,0,4.4133668
6886,135,9114,1302,4kux_FPS_A_704,0,surfdock,True,True,0.73513081,1.1328857,4.4124293,0,10922,8029.0987,0.86740178,4.359318
6887,135,9128,1304,4kux_FPS_C_705,0,surfdock,True,True,0.72210508,1.1337878,4.4011183,0,10922,7886.8316,0,4.2115209
6888,135,16153,2307,6nba_P1T_C_501,4,gnina,True,False,0.72054262,1.1040628,4.7468081,0,10922,7869.7665,0.98811926,6.854348
6889,135,9135,1305,4kux_FPS_D_704,0,surfdock,True,True,0.71659696,1.1339153,4.3973536,0,10922,7826.672,0,4.2423635
6890,135,8803,1257,4i9n_1E6_A_401,4,gnina,True,False,0.68866514,0.98928902,6.3814092,0,10922,7521.6007,0.84634554,12.978746
6891,135,8761,1251,4i9n_1E5_B_402,4,gnina,True,False,0.68819402,1.0907205,4.9077153,0,10922,7516.4551,0.97073742,9.1492381
6892,135,8670,1238,4i2p_G73_A_601,4,gnina,True,False,0.68652028,1.0917419,4.8936548,0,10922,7498.1745,0.99336257,10.332049
6893,135,10483,1497,4x3j_3WR_A_1201,4,gnina,True,False,0.68585493,1.1018259,4.7678542,0,10922,7490.9076,0.98170602,7.6899506
6894,135,8817,1259,4i9n_1E6_C_401,4,gnina,True,False,0.68040575,0.99126459,6.3377867,0,10922,7431.3916,0.8655176,12.727864
6895,135,8824,1260,4i9n_1E6_D_401,4,gnina,True,False,0.66280304,0.98948425,6.3659835,0,10922,7239.1348,0.69695683,12.993399
6896,135,8782,1254,4i9n_1E5_F_402,4,gnina,True,False,0.65550099,1.0910686,4.8933139,0,10922,7159.3818,0.96253824,9.3802751
6897,135,16150,2307,6nba_P1T_C_501,1,unimol,True,False,0.85236506,0.55811062,25.860001,0,7752,6607.534,0,20.14
6898,135,8792,1256,4i9n_1E5_H_402,0,surfdock,False,True,0.60245115,1.1159747,4.3921962,0,10922,6579.9715,0.89727759,3.5331233
6899,135,553,79,1fdk_GLE_A_150,0,surfdock,False,True,0.60092424,1.1115233,4.4181709,0,10922,6563.2945,0,4.19696
6900,135,6825,975,3w7f_FPS_B_302,0,surfdock,False,True,0.60092424,1.113211,4.3988314,0,10922,6563.2945,0,4.4153911
6901,135,13041,1863,5lwy_OLB_A_404,0,surfdock,False,True,0.54686847,1.1250814,4.1018806,0,10922,5972.8974,0,2.6132184
6902,135,13055,1865,5lwy_OLB_A_407,0,surfdock,False,True,0.54686847,1.1174658,4.1850853,0,10922,5972.8974,0,3.6158872
6903,135,13076,1868,5m5a_KSA_A_404,0,surfdock,False,True,0.54686847,1.1107304,4.2600398,0,10922,5972.8974,0.9903893,4.91918
6904,135,14287,2041,5xvt_8FL_A_709,0,surfdock,False,True,0.54686847,1.1103558,4.2642469,0,10922,5972.8974,0.43280237,3.925252
6905,135,11341,1620,5d41_57N_A_1103,1,unimol,True,False,0.68523221,0.55729303,25.860001,0,7752,5311.9201,0.98561914,22.57
6906,135,13049,1864,5lwy_OLB_A_406,1,unimol,True,False,0.68523221,0.55729303,25.860001,0,7752,5311.9201,0,28.83
6907,135,17389,2484,6vei_9UO_B_502,1,unimol,True,False,0.68523221,0.55729303,25.860001,0,7752,5311.9201,0.97717331,24.35
6908,135,10907,1558,4zvv_GN0_D_403,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0,25.33
6909,135,11033,1576,5aew_BNL_I_462,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.94351381,34.64
6910,135,11208,1601,5c4i_TPP_C_402,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.96004788,28.05
6911,135,11215,1602,5c4i_TPP_F_402,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.93954369,28.42
6912,135,11579,1654,5edh_5MF_B_803,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0,31.86
6913,135,11586,1655,5edh_5MF_C_803,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0,24.62
6914,135,11593,1656,5edh_5MF_D_803,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0,26.14
6915,135,11733,1676,5ew8_5SF_A_803,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.96646893,30.21
6916,135,11782,1683,5faj_DCS_A_401,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.94322705,27.11
6917,135,11789,1684,5faj_DCS_B_401,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.9597297,26.47
6918,135,11796,1685,5faj_DCS_C_401,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.94729317,24.61
6919,135,11894,1699,5fli_QUE_E_301,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.99193769,27.6
6920,135,11901,1700,5fli_QUE_F_301,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.98729903,25.45
6921,135,11908,1701,5fli_QUE_H_301,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.99093803,23.55
6922,135,11915,1702,5fli_QUE_J_301,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0,21.3
6923,135,11922,1703,5fli_QUE_K_301,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0,23.81
6924,135,12013,1716,5g09_6DF_A_1475,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0,29.9
6925,135,12020,1717,5g09_6DF_B_1474,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.97162296,22.63
6926,135,12027,1718,5g09_6DF_C_1475,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0,25.58
6927,135,12041,1720,5g0v_JDD_B_1271,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.91805016,24.83
6928,135,12048,1721,5g21_YN4_A_1002,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.91294372,27.04
6929,135,12062,1723,5g4r_LF1_A_1739,1,unimol,True,False,0.65339627,0.55340945,25.860001,0,7752,5065.1279,0.9900072,25.88
