flat_index,proposed_by_mu,proposed_by_ca,utility,cost_acquisition,predicted_runtime_mean,predicted_runtime_sd,affordable_repetitions,projected_gain,ranking_value,selected
72,False,True,0.37176219,0.60949411,27.818401,0,2226,827.54264,827.54264,False
443,False,True,0.30184444,0.61239863,19.571512,0,2872,866.89724,866.89724,True
548,True,False,0.46602633,0.5643374,35.80415,0,1729,805.75953,805.75953,False
821,False,True,0.35362558,0.61528673,24.309793,0,2547,900.68436,900.68436,True
828,False,True,0.37014498,0.62439368,26.017826,0,2380,880.94505,880.94505,True
842,False,True,0.36030333,0.62677577,24.913754,0,2486,895.71407,895.71407,True
1143,True,False,0.40246879,0.5986972,30.524563,0,2029,816.60918,816.60918,False
1262,True,True,0.37885042,0.61161448,28.366608,0,2183,827.03047,827.03047,False
1283,True,True,0.38007617,0.6091443,28.821741,0,2149,816.78369,816.78369,False
1346,True,False,0.38038273,0.55014316,37.565907,0,1648,626.87074,626.87074,False
1514,False,True,0.37650991,0.61838708,27.17104,0,2279,858.06609,858.06609,True
1759,False,True,0.36318112,0.6108617,27.09964,0,2285,829.86885,829.86885,False
1934,False,True,0.36260413,0.61786728,26.143082,0,2369,859.00919,859.00919,True
1941,False,True,0.36017741,0.61496125,26.143082,0,2369,853.26028,853.26028,True
2235,False,True,0.37651082,0.62289893,26.690834,0,2320,873.50511,873.50511,True
2284,False,True,0.30336284,0.6554896,16.715885,0,2872,871.25807,871.25807,True
2312,False,True,0.36090027,0.62258651,25.420088,0,2436,879.15306,879.15306,True
2501,True,False,0.50075377,0.55559292,37.530113,0,1650,826.24372,826.24372,False
2760,False,True,0.37662036,0.60960305,28.244246,0,2193,825.92844,825.92844,False
2767,True,True,0.37905727,0.61241117,28.29734,0,2188,829.37731,829.37731,False
4160,True,False,0.50448075,0.55597301,37.565907,0,1648,831.38428,831.38428,False
4230,True,False,0.49844094,0.55704907,37.240681,0,1663,828.90728,828.90728,False
4391,True,False,0.38479682,0.59394007,31.047215,0,1995,767.66965,767.66965,False
4405,False,True,0.36298881,0.61841944,26.204798,0,2363,857.74255,857.74255,True
4454,False,True,0.30082524,0.6338279,17.499252,0,2872,863.97008,863.97008,True
4811,True,False,0.37996339,0.54975451,37.565907,0,1648,626.17967,626.17967,False
4951,True,False,0.50764882,0.55636167,37.565907,0,1648,836.60525,836.60525,True
4965,True,False,0.50950303,0.55655599,37.565907,0,1648,839.66099,839.66099,True
5980,True,False,0.44420308,0.57993476,33.205765,0,1865,828.43875,828.43875,False
6113,False,True,0.30904848,0.62058878,20.262701,0,2872,887.58725,887.58725,True
6267,False,True,0.30439976,0.62202964,19.35568,0,2872,874.2361,874.2361,True
6281,False,True,0.30408427,0.6215276,19.35568,0,2872,873.33002,873.33002,True
6288,False,True,0.30983194,0.6367773,19.062401,0,2872,889.83734,889.83734,True
6295,True,False,0.50161097,0.55558435,37.565907,0,1648,826.65489,826.65489,False
6428,True,False,0.49157174,0.55500137,37.565907,0,1648,810.11022,810.11022,False
6582,True,False,0.38097844,0.57286607,33.96714,0,1823,694.5237,694.5237,False
6589,True,False,0.37985477,0.57104809,33.96714,0,1823,692.47524,692.47524,False
7163,False,True,0.36999786,0.60672936,27.990858,0,2212,818.43527,818.43527,False
7436,True,False,0.52677547,0.55811062,37.565907,0,1648,868.12597,868.12597,True
7443,True,False,0.38105747,0.55130913,37.565907,0,1648,627.98271,627.98271,False
7513,True,True,0.38094505,0.60700152,29.217825,0,2119,807.22256,807.22256,False
7590,True,False,0.5212459,0.55791629,37.565907,0,1648,859.01325,859.01325,True
7751,True,False,0.38070466,0.59296413,30.981222,0,1999,761.02861,761.02861,False
7758,True,False,0.38053548,0.59275482,30.981222,0,1999,760.69042,760.69042,False
7919,False,True,0.35335578,0.60959983,24.827698,0,2494,881.26932,881.26932,True
8388,True,False,0.37872709,0.54858854,37.565907,0,1648,624.14225,624.14225,False
8598,True,False,0.47921432,0.56419711,35.860027,0,1727,827.60313,827.60313,False
8780,False,True,0.36355146,0.61944395,26.312473,0,2354,855.80013,855.80013,True
