query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,utility,acquisition,predicted_runtime_mean,predicted_runtime_sd,score,runtime
6412,141,9916,1416,4rii_TYD_B_401,4,gnina,0.60492375,0.89830657,3.1252379,0,0.99723792,5.4983186
6413,141,13388,1912,5ocm_9RH_F_302,4,gnina,0.52391315,0.89427042,3.600714,0,0.73743566,3.9933813
6414,141,4792,684,2npq_BOG_A_1000,4,gnina,0.51999944,0.88962008,3.4425302,0,0.94715117,4.2800804
6415,141,10154,1450,4upd_7P9_A_1550,4,gnina,0.51999944,0.88962008,3.4766154,0,0.76024999,12.875462
6416,141,10966,1566,5a86_D7E_B_1432,4,gnina,0.51999944,0.88962008,3.5615084,0,2.7101685e-06,5.4973562
6417,141,11211,1601,5c8w_PCG_B_303,4,gnina,0.51999944,0.88962008,3.7592714,0,0.99425099,3.6083582
6418,141,16132,2304,6m9b_BTN_B_201,4,gnina,0.51999944,0.88962008,3.6180568,0,0.99271549,3.5148817
6419,141,14249,2035,5x6r_7ZR_B_402,4,gnina,0.51999944,0.88514521,3.4270487,0,2.2208678e-10,6.2323787
6420,141,12065,1723,5g44_YTZ_A_1512,4,gnina,0.51998605,0.8840923,3.3746927,0,0.89602537,2.3980073
6421,141,14984,2140,6c1i_KNA_A_502,4,gnina,0.51993896,0.88382908,3.333833,0,3.1599622e-09,2.6165357
6422,141,7774,1110,4clr_FDB_C_1270,4,gnina,0.49966651,0.88198649,2.4672911,0,0.94024436,2.3911399
6423,141,4785,683,2nos_AGU_A_903,4,gnina,0.49943409,0.88189875,3.0063889,0,0.00029350186,1.4645331
6424,141,746,106,1gz5_G6P_A_901,4,gnina,0.49623068,0.881811,3.5706496,0,1.6373853e-06,5.2726861
6425,141,10994,1570,5abz_Z47_B_201,4,gnina,0.49584964,0.88154778,3.1469493,0,0.36599928,4.3640303
6426,141,8537,1219,4hez_1MZ_A_306,4,gnina,0.49457078,0.88137229,1.9925817,0,1.0054297e-06,1.3454882
6427,141,9958,1422,4rkz_3S4_B_401,4,gnina,0.49219819,0.88119681,3.1581481,0,0.95019174,2.8667634
6428,141,17140,2448,6szt_M4Q_A_601,4,gnina,0.49129862,0.88093358,3.802563,0,0.0045914643,3.24188
6429,141,60,8,1aia_PMP_A_411,4,gnina,0.49127356,0.88084584,2.950772,0,0.95144949,3.2216116
6430,141,8530,1218,4hez_1MZ_A_304,4,gnina,0.49061811,0.88075809,1.9375694,0,8.9247272e-05,1.3589196
6431,141,16951,2421,6rgr_RM4_A_403,4,gnina,0.49045821,0.88067035,1.9940822,0,0.23026258,1.6662779
6432,141,11120,1588,5b4o_6DQ_B_202,4,gnina,0.48617562,0.88049487,2.3452358,0,0.27767462,3.6889805
