query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,utility,acquisition,predicted_runtime_mean,predicted_runtime_sd,score,runtime
11750,261,6018,859,2zce_PYL_A_601,5,autodock,0.20912488,0.58242888,9.547452,0,0,8.6640827
11751,261,10426,1489,4xf0_CYS_A_502,3,diffdock_l,0.1859442,0.57179551,9.1664658,0,0.65520136,11.64186
11752,261,9430,1347,4n4j_HG1_A_606,1,unimol,0.76905791,0.567512,13.2368,0,0,21.02
11753,261,1802,257,1m9j_CLW_B_907,3,diffdock_l,0.18526323,0.56657318,8.9994946,0,2.4869471e-31,20.104843
11754,261,6352,907,3rop_NCA_A_302,3,diffdock_l,0.18535173,0.56332161,9.4055195,0,9.2707081e-42,40.44593
11755,261,11982,1711,5g09_6DF_B_1474,5,autodock,0.90085191,0.56310039,14.425114,0,0.99214345,14.177418
11756,261,11989,1712,5g09_6DF_C_1475,5,autodock,0.92765502,0.56289908,14.663005,0,0.98704211,22.415554
11757,261,6359,908,3rop_NCA_B_302,3,diffdock_l,0.18522495,0.55832139,9.3647623,0,3.0675385e-41,34.591517
11758,261,11996,1713,5g09_6DF_D_1476,5,autodock,0.82029149,0.55757716,14.098121,0,0.98739362,25.472144
11759,261,13865,1980,5ved_STU_A_601,5,autodock,0.41837274,0.55619725,12.148129,0,0.0081264092,29.846427
11760,261,7757,1108,4cld_JUO_B_1270,1,unimol,0.60133931,0.55564107,12.644757,0,0,17.4
11761,261,7764,1109,4cld_JUO_C_1270,1,unimol,0.60129474,0.55544308,12.644757,0,0,17.94
11762,261,10055,1436,4u7g_K17_A_303,3,diffdock_l,0.18092033,0.55530656,7.3010669,0,3.4499922e-31,19.765667
11763,261,7771,1110,4cld_JUO_D_1270,1,unimol,0.60089928,0.55455216,12.644757,0,0,21.37
11764,261,11387,1626,5ddu_PMP_B_601,5,autodock,0.65089429,0.55328143,13.582858,0,0.95145058,19.919956
11765,261,5349,764,2tmk_ATM_B_217,1,unimol,0.78066592,0.55172795,14.290956,0,0,20.06
11766,261,3300,471,1yik_MM1_A_500,3,diffdock_l,0.18527331,0.5489196,9.8875942,0,4.5144286e-33,7.7953384
11767,261,17055,2436,6sjs_THH_B_901,3,diffdock_l,0.18265074,0.54817146,9.1476955,0,0.13267284,10.825981
11768,261,16794,2399,6r4j_GLU_A_704,1,unimol,0.6187876,0.5459782,13.450361,0,0,24.31
11769,261,3307,472,1yik_MM1_A_501,3,diffdock_l,0.18167623,0.54455859,8.6332388,0,1.8942564e-09,7.6068709
11770,261,17048,2435,6sj8_44V_B_901,3,diffdock_l,0.18329902,0.54233682,9.657383,0,1.0731621e-29,23.489776
11771,261,17041,2434,6sj8_44V_A_901,3,diffdock_l,0.18198638,0.5418747,9.2550812,0,1.7808418e-32,20.547996
11772,261,11222,1603,5c8w_PCG_B_303,1,unimol,0.71437386,0.54086254,14.653854,0,0,18.66
11773,261,6310,901,3ro7_TDR_A_300,3,diffdock_l,0.18513026,0.54007147,10.24323,0,0.99524632,15.367408
11774,261,12288,1755,5htd_MYR_A_201,3,diffdock_l,0.18402157,0.53677158,10.116432,0,0.93036278,13.00262
11775,261,11394,1627,5ddu_PMP_C_601,5,autodock,0.49410471,0.53416528,13.771726,0,0.96776627,18.646758
11776,261,11401,1628,5ddu_PMP_D_601,5,autodock,0.51313935,0.53302695,13.880754,0,0.95807338,13.927077
11777,261,10062,1437,4u7g_K17_B_303,3,diffdock_l,0.18004032,0.53059077,6.7949853,0,0.0035956506,37.162152
11778,261,5843,834,2y00_Y00_A_601,5,autodock,0.41969046,0.5288915,13.882609,0,0,12.186314
11779,261,10715,1530,4zdz_TPF_A_602,5,autodock,0.1864516,0.52788643,11.708519,0,0,7.9242434
11780,261,16661,2380,6qdb_HWQ_A_1002,1,unimol,0.61878747,0.52671609,14.748935,0,0,21.57
11781,261,9985,1426,4s38_CDI_A_900,3,diffdock_l,0.18527074,0.52628081,11.110561,0,0,28.001163
11782,261,17526,2503,6vv1_RMJ_A_501,5,autodock,0.18471854,0.52519613,10.938552,0,0,10.953684
11783,261,7808,1115,4cle_JR2_D_1271,3,diffdock_l,0.18529113,0.52473945,11.291527,0,1.2469575e-49,38.630057
11784,261,13121,1874,5mot_HBD_A_402,3,diffdock_l,0.18103964,0.52299084,8.9860582,0,3.670827e-12,14.331543
11785,261,7787,1112,4cle_JR2_A_1271,3,diffdock_l,0.18529141,0.52268217,11.425705,0,1.5271467e-06,37.374976
11786,261,7171,1024,3zog_A2Q_A_200,3,diffdock_l,0.18526567,0.52237971,11.327337,0,0,8.9856617
11787,261,5356,765,2uuj_896_B_1250,1,unimol,0.71434231,0.52214408,16.020363,0,0.98661085,22.2
11788,261,2031,290,1o28_UFP_D_718,1,unimol,0.81380462,0.52122594,16.713055,0,0,21.03
11789,261,2427,346,1rf2_BV4_F_106,5,autodock,0.22147403,0.51952126,13.153848,0,2.1489679e-05,18.166157
11790,261,5841,834,2y00_Y00_A_601,3,diffdock_l,0.19249,0.51947008,12.84649,0,1.9065097e-48,29.744412
11791,261,10659,1522,4zb2_GLC_A_403,5,autodock,0.25265642,0.51917759,13.353031,0,0.036047604,25.243177
11792,261,2059,294,1o29_UFP_D_818,1,unimol,0.76661783,0.51825163,16.659307,0,0,24.68
11793,261,12379,1768,5i93_69O_A_202,3,diffdock_l,0.18215179,0.51702977,10.690614,0,0.002021284,9.8821194
11794,261,2259,322,1pr6_XYA_A_1245,5,autodock,0.25751115,0.51600808,13.58215,0,3.0581629e-06,15.828175
11795,261,2052,293,1o29_UFP_C_813,1,unimol,0.76686455,0.51509694,16.929642,0,0,18.97
11796,261,9292,1327,4ma8_Z80_C_301,3,diffdock_l,0.18125151,0.5125867,9.7194014,0,0,21.791541
11797,261,1328,189,1j3k_WRA_A_609,5,autodock,0.50790663,0.51212715,15.362708,0,0.20025817,6.7455199
11798,261,7285,1040,4a8p_PAO_A_1340,5,autodock,0.40618604,0.51118701,15.084673,0,0,19.589641
11799,261,61,8,1aia_PMP_B_411,5,autodock,0.29266628,0.51052107,14.080975,0,0.00030287459,25.758161
11800,262,8865,1266,4iph_1FJ_A_202,3,diffdock_l,0.1871149,0.66158977,5.4986391,0,0.0089254456,61.076419
11801,262,8858,1265,4iph_1FJ_A_201,3,diffdock_l,0.18663054,0.63413381,6.2932477,0,0.35059539,10.916281
11802,262,6142,877,2zwt_CAM_A_422,3,diffdock_l,0.1867611,0.58164478,8.3347044,0,0.99457152,20.369712
11803,262,7922,1131,4cx6_Q16_A_800,5,autodock,0.18645218,0.5575633,9.3977823,0,1.4724354e-09,6.2935613
11804,262,17221,2460,6t9c_MX8_A_501,1,unimol,0.61529935,0.5547912,13.168933,0,0.9766465,27.22
11805,262,4616,659,2isf_PAC_A_317,3,diffdock_l,0.18255789,0.54923642,8.566349,0,0.052213925,15.440964
11806,262,9495,1356,4ni1_2JX_A_204,3,diffdock_l,0.18690199,0.54787914,9.969265,0,2.506318e-31,11.912998
11807,262,9488,1355,4ni1_2JX_A_203,3,diffdock_l,0.18715044,0.54489151,10.265619,0,0,15.478662
11808,262,2063,294,1o29_UFP_D_818,5,autodock,0.27800992,0.54423895,11.912912,0,0.41814403,9.9808334
