query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,utility,acquisition,predicted_runtime_mean,predicted_runtime_sd,score,runtime
15494,345,4293,613,2fc0_DGP_A_239,2,diffdock,0.53476401,0.78855266,15.433687,0,0.97522199,16.502903
15495,345,9613,1373,4oxy_1TN_A_302,2,diffdock,0.1553071,0.64949495,18.272854,0,0,47.106044
15496,345,8027,1146,4dch_4DC_A_502,5,autodock,0.13154899,0.64927464,12.296569,0,0,16.036832
15497,345,8248,1178,4ea0_651_B_305,2,diffdock,0.14460553,0.63877742,17.497612,0,0,35.509447
15498,345,5192,741,2qd4_CHD_B_927,5,autodock,0.11965931,0.63151826,8.1913862,0,0,10.068904
15499,345,14934,2133,6btn_E8M_A_304,3,diffdock_l,0.14025334,0.62637131,17.379362,0,0,26.91621
15500,345,5178,739,2qd4_CHD_A_803,5,autodock,0.11949138,0.62499261,8.3740511,0,0,11.435574
15501,345,17477,2496,6vv1_RMJ_A_501,5,autodock,0.11715006,0.61918736,8.0840759,0,0,10.953684
15502,345,6463,923,3te7_TE7_B_1,2,diffdock,0.34536028,0.61755044,28.645168,0,0,33.295746
15503,345,8489,1212,4h4c_10D_B_402,5,autodock,0.11774187,0.61404569,8.5169954,0,0,13.270216
15504,345,17019,2431,6s39_K5Z_A_301,2,diffdock,0.13201816,0.61255224,14.54823,0,0,21.727756
15505,345,16067,2295,6lql_F0C_A_702,2,diffdock,0.15030704,0.6026376,21.224691,0,0,23.93057
15506,345,8307,1186,4ekr_0R0_A_203,5,autodock,0.11623398,0.60160157,8.6022406,0,0.0088487332,4.1856081
15507,345,12603,1800,5iuy_BOG_C_503,3,diffdock_l,0.14184301,0.6007783,20.108955,0,0,20.440719
15508,345,9040,1291,4k5g_Q13_B_803,3,diffdock_l,0.14768835,0.60009636,21.014305,0,2.9757264e-14,44.751071
15509,345,297,42,1d7a_AIR_C_400,3,diffdock_l,0.13957701,0.59676086,18.726435,0,0,47.180455
15510,345,289,41,1d7a_AIR_B_350,2,diffdock,0.1468232,0.59517193,21.35541,0,0,53.909345
