query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,utility,acquisition,predicted_runtime_mean,predicted_runtime_sd,score,runtime
12996,289,3180,454,1w62_PYC_A_700,2,diffdock,0.22799572,0.033091453,6.8898664,0,0,26.468967
12997,289,10600,1514,4ynu_LGC_A_603,2,diffdock,0.16213815,0.029389779,5.51682,0,1.2966982e-46,18.281177
12998,289,1878,268,1m7p_G3H_A_5401,2,diffdock,0.19827326,0.029094229,6.8148646,0,0.93458607,20.97737
12999,289,1885,269,1m7p_G3H_B_6401,2,diffdock,0.19755834,0.02828883,6.9836154,0,0.94771793,18.480536
13000,289,6981,997,3wur_O4B_A_202,2,diffdock,0.25407302,0.028066109,9.0526619,0,1.1044085e-30,17.090341
13001,289,6988,998,3wur_O4B_B_201,2,diffdock,0.25030199,0.027570891,9.0784864,0,0.71829145,18.434638
13002,289,15080,2154,6e8i_PTR_A_201,2,diffdock,0.21431345,0.0273508,7.8357277,0,0.99648039,12.480363
13003,289,10601,1514,4ynu_LGC_A_603,3,diffdock_l,0.17083082,0.026686416,6.4014139,0,6.628187e-46,17.468719
13004,289,16306,2329,6nnp_G6P_A_502,3,diffdock_l,0.24560436,0.025955359,9.4625673,0,9.3986069e-09,23.31773
13005,289,4489,641,2gnm_MAN_A_253,2,diffdock,0.31590139,0.025523803,12.376736,0,0,30.149476
13006,289,16677,2382,6qhu_FAH_A_401,3,diffdock_l,0.27991072,0.025334155,11.048748,0,0,13.303735
13007,289,5637,805,2w5t_GP9_A_1644,2,diffdock,0.22174582,0.025210978,8.7956047,0,0,21.078717
13008,289,6995,999,3wur_O4B_B_202,2,diffdock,0.22665795,0.025055556,9.0462141,0,0,16.980973
13009,289,10593,1513,4ynu_LGC_A_602,2,diffdock,0.1642811,0.025013537,6.5676866,0,0,20.699971
13010,289,8459,1208,4h9g_14J_A_512,3,diffdock_l,0.19361194,0.02258601,8.5722055,0,0.00034387832,15.456061
13011,289,8977,1282,4jm8_26D_A_302,3,diffdock_l,0.22703271,0.022494536,10.092793,0,2.5803253e-31,11.526674
13012,289,10370,1481,4wqq_MAN_A_204,3,diffdock_l,0.19028789,0.022083072,8.6169109,0,0,14.58442
13013,289,6268,895,3r3z_GOA_B_305,3,diffdock_l,0.29928358,0.02143146,13.964684,0,3.360259e-33,20.236721
13014,289,3181,454,1w62_PYC_A_700,3,diffdock_l,0.25250854,0.021363767,11.819475,0,0,25.819864
13015,289,10558,1508,4xz9_G3P_B_302,2,diffdock,0.23650792,0.021357085,11.073978,0,0.19497991,25.972093
13016,289,6282,897,3r3z_GOA_D_305,3,diffdock_l,0.29055874,0.020768953,13.990051,0,0.27328826,21.953614
13017,289,6886,983,3wgc_PLG_B_401,5,autodock,0.22838078,0.020609845,11.081149,0,5.4200236e-09,10.882431
13018,289,16305,2329,6nnp_G6P_A_502,2,diffdock,0.23532496,0.020488642,11.485629,0,0,27.666028
13019,289,3943,563,2c3d_COM_B_1526,2,diffdock,0.32306189,0.02044969,15.797886,0,0,27.589866
13020,289,3160,451,1w3t_3GR_D_1297,3,diffdock_l,0.23236009,0.020408138,11.385657,0,1.0583163e-49,25.434194
13021,289,10384,1483,4wqq_MAN_C_204,3,diffdock_l,0.17897286,0.020407865,8.7697973,0,0,12.086514
13022,289,10594,1513,4ynu_LGC_A_602,3,diffdock_l,0.17388196,0.020362218,8.5394402,0,0,17.219774
13023,289,10377,1482,4wqq_MAN_B_204,3,diffdock_l,0.18000847,0.020287037,8.8730774,0,2.9001834e-56,13.438369
13024,289,8458,1208,4h9g_14J_A_512,2,diffdock,0.1791376,0.020249644,8.8464556,0,1.1512415e-07,15.663774
13025,289,3929,561,2c3d_COM_A_1525,2,diffdock,0.32051759,0.020018403,16.011145,0,0,28.798997
13026,289,129,18,1aog_MAE_A_500,3,diffdock_l,0.21233194,0.019973509,10.630677,0,3.2482276e-40,19.057001
13027,289,10671,1524,4z2w_AKG_A_401,3,diffdock_l,0.23689916,0.019957135,11.870399,0,0.9947069,18.099581
13028,289,3139,448,1w3t_3GR_A_1297,3,diffdock_l,0.21718005,0.019708308,11.01972,0,0.0036558844,25.897292
13029,289,6261,894,3r3z_GOA_A_305,3,diffdock_l,0.27245283,0.019510132,13.964684,0,9.2947201e-81,23.792319
13030,289,10565,1509,4xz9_G3P_C_302,2,diffdock,0.21884641,0.019456849,11.247782,0,7.3196906e-99,22.419184
13031,289,6275,896,3r3z_GOA_C_305,3,diffdock_l,0.27095298,0.019402729,13.964684,0,6.0227112e-81,35.46367
13032,289,7964,1137,4d96_5PA_A_501,5,autodock,0.37074661,0.019383884,19.126537,0,0,52.734064
13033,289,14451,2064,5yfj_RUB_A_401,3,diffdock_l,0.28446138,0.019341985,14.706937,0,0,34.737166
13034,289,6942,991,3wsg_CIT_C_302,5,autodock,0.1469279,0.01918364,7.6590199,0,0.11443442,13.470872
13035,289,1479,211,1jtk_THU_B_1138,2,diffdock,0.32034186,0.01913491,16.741224,0,1.0118441e-26,17.240148
