query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,utility,acquisition,predicted_runtime_mean,predicted_runtime_sd,score,runtime
4808,105,11465,1637,5dne_ASN_A_601,6,smina,0.54859233,0.79200019,1.8542247,0.21908075,0.99692051,1.2770631
4809,105,11472,1638,5dne_ASN_C_601,6,smina,0.54835276,0.79141476,1.8648909,0.21540308,0.99312344,1.0224762
4810,105,11458,1636,5dky_NOJ_A_1000,6,smina,0.4922627,0.78628598,1.26998,0,0.99427407,0.81158828
4811,105,9610,1372,4ocj_NDG_A_401,6,smina,0.49150228,0.78543943,1.26998,0,0.98846261,2.2433905
4812,105,8063,1151,4dch_GLC_A_501,6,smina,0.48896833,0.78413114,1.26998,0,0.0049831128,0.84851139
4813,105,15693,2241,6jmd_ORO_A_402,6,smina,0.48883864,0.78397722,1.26998,0,0,0.82667711
4814,105,7398,1056,4ajj_MLI_D_1333,6,smina,0.48808096,0.78351547,1.26998,0,0.95990453,0.65268193
4815,105,1987,283,1ns4_BGC_B_2400,6,smina,0.4874104,0.78328459,1.26998,0,0.95397826,0.82664297
4816,105,594,84,1fuy_FIP_A_269,6,smina,0.52789152,0.78258694,1.6034361,0.26587337,0,2.3003838
4817,105,2743,391,1tl2_NDG_A_238,6,smina,0.49095487,0.78010255,1.2996556,0.041967697,0.98017502,1.1909251
4818,105,8721,1245,4i4v_NGA_B_202,6,smina,0.47110608,0.77851316,1.26998,0,8.7304767e-06,1.4054247
4819,105,3093,441,1w62_PYC_A_700,6,smina,0.4698473,0.77812837,1.26998,0,0.99453936,0.68202383
4820,105,111,15,1aog_MAE_A_500,6,smina,0.47937743,0.77793146,1.2850076,0.021252353,0,0.71096821
4821,105,16792,2398,6qrn_RIP_A_500,6,smina,0.46775517,0.77766662,1.26998,0,0.05173119,0.51966646
4822,105,8707,1243,4i4v_NGA_A_201,6,smina,0.49103063,0.77761432,1.3147807,0.063357837,0.98213771,1.2492217
4823,105,1203,171,1isx_XYP_A_1461,6,smina,0.48823591,0.77555887,1.3174857,0.067183316,0.038516264,0.55558561
4824,105,2442,348,1rf2_BV4_H_108,6,smina,0.51765276,0.77352966,1.6687465,0.29237542,0.032103827,3.810141
4825,105,2414,344,1rf2_BV4_D_104,6,smina,0.51170769,0.77294964,1.6687465,0.29237542,0.77256807,3.7866031
4826,105,17296,2470,6tog_NQH_A_201,6,smina,0.49020305,0.77250863,1.371874,0.073416948,0,1.4958205
4827,105,8322,1188,4ekr_0R0_B_203,6,smina,0.46440021,0.77243343,1.26998,0,0.99016093,0.9767278
4828,105,2435,347,1rf2_BV4_G_107,6,smina,0.50177684,0.77222461,1.6687465,0.29237542,0.6641622,4.8914679
4829,105,8742,1248,4i6s_FUC_B_101,6,smina,0.46208657,0.77189472,1.26998,0,0.99789244,0.60128224
4830,105,16911,2415,6rgr_RM4_A_403,6,smina,0.45681423,0.77043251,1.26998,0,0.89728833,0.58758163
4831,105,8602,1228,4hrq_AZG_A_201,6,smina,0.45477676,0.76912421,1.26998,0,0.040063501,0.63738286
4832,105,5312,758,2rbx_3AY_X_2001,6,smina,0.45456715,0.76897029,1.26998,0,0.67344959,0.70641437
4833,105,8553,1221,4hez_1MZ_A_302,6,smina,0.4542294,0.76850854,1.26998,0,0,0.41428609
4834,105,9729,1389,4pik_MAN_D_503,6,smina,0.45346121,0.76804679,1.26998,0,0.07149762,0.7929748
4835,105,13103,1871,5mdh_MAK_A_335,6,smina,0.45724215,0.76757171,1.2873087,0.024506593,0.50891523,0.68769853
4836,105,6096,870,2ztl_3HL_D_301,6,smina,0.45105566,0.76643066,1.26998,0,0.00067215566,0.66336302
4837,105,3457,493,1zei_CRS_F_55,6,smina,0.45837244,0.76602365,1.2974342,0.038826238,0.059056671,0.56734599
4838,105,9827,1403,4qe1_RUU_A_403,6,smina,0.4501023,0.76596891,1.26998,0,0.00069800512,0.70890236
4839,105,13,1,19gs_BSP_B_210,6,smina,0.45452115,0.76530602,1.2912127,0.030027663,2.9078849e-06,0.67157019
4840,105,12431,1775,5ice_2H4_A_402,6,smina,0.52388261,0.76521208,1.7241026,0.38549477,0,2.8027787
4841,105,14503,2071,5ylf_BGC_A_401,6,smina,0.44854316,0.76481453,1.26998,0,0.014519174,0.83515575
4842,105,2827,403,1u18_HSM_B_402,6,smina,0.44847897,0.76466061,1.26998,0,5.3256683e-07,0.81278472
4843,105,12186,1740,5h9i_XAN_A_301,6,smina,0.49010529,0.76457265,1.4193751,0.14114867,0.97503983,0.63819466
4844,105,4675,667,2j5b_TYE_B_1338,6,smina,0.44798652,0.76442974,1.26998,0,0,1.5111492
4845,105,5102,728,2qcx_PF1_A_300,6,smina,0.48028049,0.76425032,1.367637,0.13810793,0,2.2601057
4846,105,3128,446,1wq4_TYR_A_501,6,smina,0.44986571,0.7636692,1.2817825,0.016691333,2.2285523e-06,1.4709873
4847,105,265,37,1cq1_BGC_A_455,6,smina,0.44630569,0.76342928,1.26998,0,6.5584112e-05,0.81624536
4848,105,9456,1350,4n9v_AZA_A_401,6,smina,0.45146703,0.76307684,1.2912592,0.030093357,0.99818656,0.67481189
4849,105,8315,1187,4ekr_0R0_A_203,6,smina,0.44539249,0.76296752,1.26998,0,0.0088247875,0.59584109
4850,105,15546,2220,6ho7_GHQ_A_301,6,smina,0.49144616,0.7626983,1.464075,0.13492167,0.98717229,1.8919143
4851,105,10653,1521,4zb2_FRU_A_404,6,smina,0.44220228,0.7600431,1.26998,0,3.7184125e-08,0.86850281
4852,105,11654,1664,5eo7_SFU_B_403,6,smina,0.44117223,0.75927351,1.26998,0,0.56993597,0.83019186
4853,105,4318,616,2fyd_BGC_D_530,6,smina,0.46817117,0.75834633,1.4013849,0.15235937,0.38487729,0.85892049
